rok;pkd;liczba_upadlosci
2018;10.1;12
2018;22.2;23
2018;29.3;1
2018;35.1;21
2018;41.2;103
2018;45.1;23
2018;46.3;44
2018;46.4;56
2018;46.7;67
2018;46.9;51
2018;47.1;49
2018;47.7;65
2018;49.4;71
2018;52.2;16
2018;62.0;25
2019;10.1;12
2019;22.2;13
2019;29.3;1
2019;35.1;7
2019;41.2;65
2019;45.1;9
2019;46.3;21
2019;46.4;23
2019;46.7;45
2019;46.9;26
2019;47.1;37
2019;47.7;28
2019;49.4;54
2019;52.2;12
2019;62.0;17
2020;10.1;10
2020;22.2;6
2020;29.3;1
2020;35.1;6
2020;41.2;30
2020;45.1;11
2020;46.3;10
2020;46.4;16
2020;46.7;27
2020;46.9;10
2020;47.1;31
2020;47.7;25
2020;49.4;53
2020;52.2;11
2020;62.0;24
2021;10.1;6
2021;22.2;12
2021;35.1;4
2021;41.2;42
2021;45.1;11
2021;46.3;19
2021;46.4;20
2021;46.7;20
2021;46.9;10
2021;47.1;23
2021;47.7;24
2021;49.4;60
2021;52.2;12
2021;62.0;18
2022;10.1;6
2022;22.2;17
2022;29.3;3
2022;35.1;5
2022;41.2;54
2022;45.1;5
2022;46.3;30
2022;46.4;20
2022;46.7;25
2022;46.9;16
2022;47.1;38
2022;47.7;21
2022;49.4;67
2022;52.2;17
2022;62.0;47
2023;10.1;6
2023;22.2;9
2023;29.3;2
2023;35.1;8
2023;41.2;55
2023;45.1;21
2023;46.3;33
2023;46.4;28
2023;46.7;31
2023;46.9;28
2023;47.1;31
2023;47.7;38
2023;49.4;133
2023;52.2;21
2023;62.0;48
2024;10.1;11
2024;22.2;12
2024;29.3;2
2024;35.1;10
2024;41.2;56
2024;45.1;16
2024;46.3;15
2024;46.4;23
2024;46.7;46
2024;46.9;17
2024;47.1;51
2024;47.7;35
2024;49.4;150
2024;52.2;14
2024;62.0;42
