Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
1,A,"ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO",A,"ROLNICTWO, LEŚNICTWO I RYBACTWO"
2,01,"Uprawy rolne, chów i hodowla zwierząt, łowiectwo, włączając działalność usługową",01,"Uprawy rolne, chów i hodowla zwierząt, łowiectwo, włączając działalność usługową"
3,01.1,Uprawy rolne inne niż wieloletnie ,01.1,Uprawy rolne inne niż wieloletnie
3,01.2,Uprawa roślin wieloletnich,01.1,Uprawy rolne inne niż wieloletnie
3,01.2,Uprawa roślin wieloletnich,01.2,Uprawa roślin wieloletnich
3,01.3,Rozmnażanie roślin,01.3,Rozmnażanie roślin
3,01.4,Chów i hodowla zwierząt,01.4,Chów i hodowla zwierząt
3,01.5,Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana),01.5,Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
3,01.6,Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach,01.4,Chów i hodowla zwierząt
3,01.6,Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach,01.6,Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach
3,01.7,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową",01.7,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"
2,02,Leśnictwo i pozyskiwanie drewna,02,Leśnictwo i pozyskiwanie drewna
3,02.1,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych",02.1,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych"
3,02.2,Pozyskiwanie drewna,02.2,Pozyskiwanie drewna
3,02.3,"Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna",02.3,"Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna"
3,02.4,Działalność usługowa związana z leśnictwem,02.4,Działalność usługowa związana z leśnictwem
2,03,Rybactwo,01,"Uprawy rolne, chów i hodowla zwierząt, łowiectwo, włączając działalność usługową"
2,03,Rybactwo,03,Rybactwo
3,03.1,Rybołówstwo,03.1,Rybołówstwo
3,03.1,Rybołówstwo,03.3,Działalność usługowa wspomagająca rybołówstwo i akwakulturę
3,03.2,Chów i hodowla ryb oraz pozostałych organizmów wodnych,01.4,Chów i hodowla zwierząt
3,03.2,Chów i hodowla ryb oraz pozostałych organizmów wodnych,03.2,Akwakultura
3,03.2,Chów i hodowla ryb oraz pozostałych organizmów wodnych,03.3,Działalność usługowa wspomagająca rybołówstwo i akwakulturę
1,B,GÓRNICTWO I WYDOBYWANIE,B,GÓRNICTWO I WYDOBYWANIE
2,05,Wydobywanie węgla kamiennego i węgla brunatnego (lignitu),05,Wydobywanie węgla kamiennego i węgla brunatnego (lignitu)
3,05.1,Wydobywanie węgla kamiennego,05.1,Wydobywanie węgla kamiennego
3,05.2,Wydobywanie węgla brunatnego (lignitu),05.2,Wydobywanie węgla brunatnego (lignitu)
2,06,Górnictwo ropy naftowej i gazu ziemnego,06,Górnictwo ropy naftowej i gazu ziemnego
3,06.1,Górnictwo ropy naftowej,06.1,Górnictwo ropy naftowej
3,06.2,Górnictwo gazu ziemnego,06.2,Górnictwo gazu ziemnego
2,07,Górnictwo rud metali,07,Górnictwo rud metali
3,07.1,Górnictwo rud żelaza,07.1,Górnictwo rud żelaza
3,07.2,Górnictwo rud metali nieżelaznych,07.2,Górnictwo rud metali nieżelaznych
2,08,Pozostałe Górnictwo i wydobywanie,08,Pozostałe górnictwo i wydobywanie
3,08.1,"Wydobywanie kamienia, piasku i gliny",08.1,"Wydobywanie kamienia, piasku i gliny"
3,08.9,"Górnictwo i wydobywanie, gdzie indziej niesklasyfikowane",08.9,Górnictwo i wydobywanie gdzie indziej niesklasyfikowane
2,09,Działalność usługowa wspomagająca górnictwo i wydobywanie,09,Działalność usługowa wspomagająca górnictwo i wydobywanie
3,09.1,Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego,09.1,Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
3,09.9,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie,09.9,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
1,C,PRZETWÓRSTWO PRZEMYSŁOWE,A,"ROLNICTWO, LEŚNICTWO I RYBACTWO"
1,C,PRZETWÓRSTWO PRZEMYSŁOWE,C,PRZETWÓRSTWO PRZEMYSŁOWE
1,C,PRZETWÓRSTWO PRZEMYSŁOWE,S,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ"
2,10,Produkcja artykułów spożywczych,10,Produkcja artykułów spożywczych
