rok;pkd;liczba_upadlosci
2018;01.1;12
2018;01.2;2
2018;01.3;1
2018;01.4;6
2018;01.5;9
2018;01.6;4
2018;02.1;1
2018;02.2;3
2018;02.4;1
2018;08.1;6
2018;09.9;1
2018;10.1;12
2018;10.2;1
2018;10.3;5
2018;10.5;6
2018;10.7;20
2018;10.8;8
2018;10.9;2
2018;11.0;4
2018;13.1;1
2018;13.3;1
2018;13.9;10
2018;14.1;19
2018;15.1;2
2018;15.2;3
2018;16.1;13
2018;16.2;13
2018;17.2;4
2018;18.1;10
2018;18.2;5
2018;19.2;2
2018;20.1;6
2018;20.4;3
2018;20.5;3
2018;21.1;3
2018;21.2;2
2018;22.1;2
2018;22.2;23
2018;23.1;8
2018;23.3;1
2018;23.4;1
2018;23.5;1
2018;23.6;5
2018;23.7;6
2018;23.9;2
2018;24.4;3
2018;24.5;2
2018;25.1;20
2018;25.2;5
2018;25.5;3
2018;25.6;19
2018;25.7;3
2018;25.9;3
2018;26.1;3
2018;26.2;2
2018;26.3;2
2018;26.4;1
2018;26.5;1
2018;27.1;3
2018;27.2;1
2018;27.4;2
2018;28.1;2
2018;28.2;11
2018;28.3;1
2018;28.9;8
2018;29.1;5
2018;29.3;1
2018;30.1;4
2018;30.3;1
2018;30.9;2
2018;31.0;23
2018;32.1;1
2018;32.3;2
2018;32.5;1
2018;32.9;4
2018;33.1;26
2018;33.2;1
2018;35.1;21
2018;35.3;2
2018;36.0;1
2018;37.0;1
2018;38.1;3
2018;38.2;4
2018;38.3;8
2018;39.0;1
2018;41.1;64
2018;41.2;103
2018;42.1;36
2018;42.2;27
2018;42.9;16
2018;43.1;2
2018;43.2;64
2018;43.3;16
2018;43.9;17
2018;45.1;23
2018;45.2;18
2018;45.3;10
2018;46.1;17
2018;46.2;9
2018;46.3;44
2018;46.4;56
2018;46.5;10
2018;46.6;13
2018;46.7;67
2018;46.9;51
2018;47.1;49
2018;47.2;13
2018;47.3;4
2018;47.4;4
2018;47.5;13
2018;47.6;14
2018;47.7;65
2018;47.9;24
2018;49.2;1
2018;49.3;14
2018;49.4;71
2018;49.6;1
2018;51.1;2
2018;52.1;4
2018;52.2;16
2018;53.2;4
2018;55.1;15
2018;55.2;4
2018;56.1;40
2018;56.2;1
2018;56.3;1
2018;58.1;9
2018;58.2;2
2018;59.1;6
2018;59.2;1
2018;60.2;2
2018;61.1;3
2018;61.2;4
2018;61.3;1
2018;61.9;2
2018;62.0;25
2018;63.1;21
2018;63.9;1
2018;64.1;12
2018;64.2;5
2018;64.3;4
2018;64.9;12
2018;66.1;7
2018;66.2;10
2018;66.3;3
2018;68.1;21
2018;68.2;53
2018;68.3;6
2018;69.1;2
2018;69.2;11
2018;70.1;6
2018;70.2;32
2018;71.1;29
2018;71.2;2
2018;72.1;4
2018;73.1;20
2018;73.2;1
2018;74.1;4
2018;74.2;1
2018;74.9;6
2018;75.0;2
2018;77.1;1
2018;77.2;1
2018;77.3;5
2018;78.1;3
2018;78.2;5
2018;78.3;4
2018;79.1;7
2018;79.9;1
2018;80.1;6
2018;80.2;1
2018;81.2;6
2018;81.3;6
2018;82.1;5
2018;82.2;2
2018;82.3;3
2018;82.9;6
2018;85.1;1
2018;85.5;5
2018;86.1;6
2018;86.2;11
2018;86.9;11
2018;88.1;3
2018;88.9;2
2018;90.0;4
2018;91.0;5
2018;92.0;2
2018;93.1;11
2018;93.2;3
2018;94.1;2
2018;94.9;11
2018;96.0;17
2019;01.1;6
2019;01.4;4
2019;01.5;13
2019;01.6;7
2019;08.1;3
2019;09.9;2
2019;10.1;12
2019;10.2;1
2019;10.3;4
2019;10.4;1
2019;10.6;1
2019;10.7;8
2019;10.8;6
2019;10.9;1
2019;11.0;7
2019;13.1;4
2019;13.3;1
2019;13.9;5
2019;14.1;11
2019;14.3;1
2019;15.1;2
2019;15.2;3
2019;16.1;4
2019;16.2;5
2019;17.2;7
2019;18.1;3
2019;20.1;5
2019;20.4;1
2019;20.5;1
2019;21.1;1
2019;21.2;1
2019;22.1;2
2019;22.2;13
2019;23.1;1
2019;23.3;2
2019;23.6;2
2019;23.7;3
2019;23.9;1
2019;24.1;1
2019;24.5;2
2019;25.1;26
2019;25.2;3
2019;25.5;2
2019;25.6;10
2019;25.7;1
2019;25.9;3
2019;26.3;1
2019;26.5;1
2019;27.1;2
2019;27.4;2
2019;28.1;2
2019;28.2;7
2019;28.3;1
2019;28.9;7
2019;29.2;2
2019;29.3;1
2019;30.1;1
2019;30.2;2
2019;31.0;14
2019;32.4;2
2019;32.5;1
2019;32.9;2
2019;33.1;10
2019;33.2;5
2019;35.1;7
2019;37.0;2
2019;38.1;4
2019;38.2;1
2019;38.3;5
2019;41.1;22
2019;41.2;65
2019;42.1;19
2019;42.2;8
2019;42.9;7
2019;43.1;4
2019;43.2;34
2019;43.3;16
2019;43.9;18
2019;45.1;9
2019;45.2;11
2019;45.3;9
2019;45.4;1
2019;46.1;22
2019;46.2;6
2019;46.3;21
2019;46.4;23
2019;46.5;8
2019;46.6;10
2019;46.7;45
2019;46.9;26
2019;47.1;37
2019;47.2;9
2019;47.3;4
2019;47.4;6
2019;47.5;7
2019;47.6;4
2019;47.7;28
2019;47.8;1
2019;47.9;19
2019;49.2;1
2019;49.3;14
2019;49.4;54
2019;52.1;2
2019;52.2;12
2019;53.2;5
2019;55.1;9
2019;56.1;20
2019;56.2;7
2019;56.3;3
2019;58.1;3
2019;58.2;1
2019;59.1;2
2019;61.2;2
2019;61.9;1
2019;62.0;17
2019;63.1;11
2019;63.9;2
2019;64.1;9
2019;64.2;1
2019;64.9;13
2019;66.1;10
2019;66.2;6
2019;66.3;1
2019;68.1;13
2019;68.2;17
2019;68.3;8
2019;69.1;2
2019;69.2;6
2019;70.1;7
2019;70.2;39
2019;71.1;17
2019;71.2;2
2019;72.1;2
2019;73.1;8
2019;74.1;7
2019;74.9;1
2019;77.1;2
2019;77.3;2
2019;78.1;5
2019;78.2;4
2019;78.3;2
2019;79.1;5
2019;80.1;9
2019;80.2;1
2019;81.1;2
2019;81.2;7
2019;81.3;2
2019;82.1;9
2019;82.2;5
2019;82.9;2
2019;85.1;2
2019;85.2;1
2019;85.5;4
2019;85.6;2
2019;86.1;3
2019;86.2;10
2019;86.9;7
2019;87.1;1
2019;88.1;3
2019;88.9;2
2019;90.0;1
2019;91.0;1
2019;93.1;3
2019;93.2;3
2019;94.9;7
2019;95.1;1
2019;95.2;1
2019;96.0;12
2020;01.1;8
2020;01.2;1
2020;01.4;5
2020;01.5;31
2020;01.6;8
2020;02.4;1
2020;03.2;1
2020;05.1;1
2020;08.1;1
2020;10.1;10
2020;10.2;2
2020;10.3;1
2020;10.5;1
2020;10.6;1
2020;10.7;6
2020;10.9;1
2020;11.0;2
2020;13.1;1
2020;13.2;1
2020;13.9;2
2020;14.1;13
2020;15.2;1
2020;16.1;4
2020;16.2;12
2020;17.2;6
2020;18.1;7
2020;19.2;1
2020;20.1;2
2020;20.3;1
2020;20.4;1
2020;20.5;1
2020;21.1;2
2020;21.2;1
2020;22.1;1
2020;22.2;6
2020;23.3;1
2020;23.4;1
2020;23.6;5
2020;23.7;2
2020;23.9;4
2020;24.2;1
2020;24.3;1
