pkd,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
10.1,Dog,Dog,Dog,Question mark,Question mark,Dog,Question mark,Dog,Question mark,Cash cow,Dog,Question mark,Star,Dog,Question mark,Question mark,Star,Star,Cash cow,Question mark,Question mark,Question mark
22.2,Star,Star,Cash cow,Star,Cash cow,Star,Star,Star,Cash cow,Cash cow,Star,Star,Cash cow,Star,Star,Star,Cash cow,Cash cow,Cash cow,Star,Star,Star
29.3,Cash cow,Cash cow,Dog,Star,Star,Star,Star,Star,Cash cow,Star,Star,Cash cow,Cash cow,Cash cow,Dog,Dog,Question mark,Question mark,Question mark,Dog,Dog,Dog
35.1,Star,Cash cow,Star,Star,Cash cow,Star,Cash cow,Star,Star,Dog,Cash cow,Star,Dog,Dog,Dog,Cash cow,Dog,Dog,Dog,Question mark,Question mark,Question mark
41.2,Star,Star,Star,Cash cow,Cash cow,Star,Dog,Cash cow,Cash cow,Star,Cash cow,Cash cow,Star,Star,Cash cow,Star,Star,Cash cow,Cash cow,Star,Star,Star
45.1,Question mark,Question mark,Dog,Question mark,Question mark,Dog,Dog,Question mark,Question mark,Question mark,Question mark,Question mark,Question mark,Dog,Dog,Question mark,Question mark,Question mark,Dog,Dog,Dog,Dog
46.3,Dog,Question mark,Question mark,Dog,Dog,Dog,Question mark,Dog,Dog,Dog,Question mark,Dog,Dog,Question mark,Question mark,Dog,Dog,Question mark,Question mark,Question mark,Question mark,Question mark
46.4,Dog,Dog,Star,Dog,Star,Dog,Question mark,Star,Star,Dog,Star,Cash cow,Dog,Cash cow,Star,Question mark,Dog,Star,Star,Cash cow,Cash cow,Cash cow
46.7,Question mark,Dog,Question mark,Dog,Question mark,Star,Dog,Question mark,Dog,Question mark,Dog,Question mark,Dog,Dog,Question mark,Question mark,Cash cow,Dog,Dog,Dog,Dog,Dog
46.9,Cash cow,Star,Star,Cash cow,Cash cow,Cash cow,Cash cow,Dog,Star,Cash cow,Cash cow,Star,Star,Cash cow,Cash cow,Star,Star,Dog,Star,Dog,Dog,Dog
47.1,Dog,Question mark,Question mark,Question mark,Question mark,Question mark,Star,Dog,Dog,Dog,Question mark,Question mark,Question mark,Question mark,Cash cow,Question mark,Dog,Star,Star,Star,Star,Star
47.4,Star,Dog,Cash cow,Dog,Question mark,Dog,Star,,Question mark,Star,Dog,Question mark,Dog,Question mark,Star,,Dog,Question mark,Question mark,,,
49.4,Question mark,Star,Dog,Star,Cash cow,Star,Cash cow,Cash cow,Star,Star,Cash cow,Cash cow,Star,Star,Star,Cash cow,Star,Cash cow,Dog,Cash cow,Cash cow,Cash cow
52.2,Star,Star,Cash cow,Star,Question mark,Dog,Dog,Question mark,Question mark,Question mark,Question mark,Dog,Star,Star,Dog,Cash cow,Star,Cash cow,Star,Cash cow,Cash cow,Cash cow
62.0,Cash cow,Cash cow,Star,Cash cow,Cash cow,Star,Star,Star,Cash cow,Star,Star,Cash cow,Star,Star,Star,Cash cow,Star,Star,Star,Star,Star,Star
